monthly active
20205

#weekly actives
start end 	active
----- --- 	------
2014-07-01 2014-07-08 	9763
2014-07-08 2014-07-15 	9605
2014-07-15 2014-07-22 	9379
2014-07-22 2014-07-31 	10874

#daily actives
start end 	active
----- --- 	------
2014-07-0 2014-07-1 	0
2014-07-1 2014-07-2 	3296
2014-07-2 2014-07-3 	3228
2014-07-3 2014-07-4 	3294
2014-07-4 2014-07-5 	2014
2014-07-5 2014-07-6 	1887
2014-07-6 2014-07-7 	2206
2014-07-7 2014-07-8 	3822
2014-07-8 2014-07-9 	3685
2014-07-9 2014-07-10 	3374
2014-07-10 2014-07-11 	3333
2014-07-11 2014-07-12 	2608
2014-07-12 2014-07-13 	1740
2014-07-13 2014-07-14 	1791
2014-07-14 2014-07-15 	3153
2014-07-15 2014-07-16 	3141
2014-07-16 2014-07-17 	3033
2014-07-17 2014-07-18 	3082
2014-07-18 2014-07-19 	2805
2014-07-19 2014-07-20 	1852
2014-07-20 2014-07-21 	1933
2014-07-21 2014-07-22 	3210
2014-07-22 2014-07-23 	3171
2014-07-23 2014-07-24 	3141
2014-07-24 2014-07-25 	2955
2014-07-25 2014-07-26 	2543
2014-07-26 2014-07-27 	2011
2014-07-27 2014-07-28 	1896
2014-07-28 2014-07-29 	3264
2014-07-29 2014-07-30 	3093
